"행정구역","2026년04월_전체세대","2026년04월_1인세대","2026년04월_2인세대","2026년04월_3인세대","2026년04월_4인세대","2026년04월_5인세대","2026년04월_6인세대","2026년04월_7인세대","2026년04월_8인세대","2026년04월_9인세대","2026년04월_10인이상세대"
"서울특별시 도봉구 창제1동(1132051100)","10,674","4,180","2,852","2,008","1,331","238","53","7","3","2","0"
"서울특별시 도봉구 창제2동(1132051200)","12,747","4,824","3,610","2,361","1,520","336","73","18","3","1","1"
"서울특별시 도봉구 창제3동(1132051300)","6,329","2,802","1,746","1,025","592","126","31","3","4","0","0"
"서울특별시 도봉구 창제4동(1132051400)","11,317","3,962","2,837","2,360","1,736","338","62","13","6","1","2"
"서울특별시 도봉구 창제5동(1132051500)","10,331","3,621","2,777","2,135","1,402","307","67","15","5","2","0"
"서울특별시 도봉구 도봉제1동(1132052100)","10,237","4,891","2,868","1,472","755","193","44","10","4","0","0"
"서울특별시 도봉구 도봉제2동(1132052200)","11,814","4,368","3,454","2,233","1,360","311","71","12","4","1","0"
"서울특별시 도봉구 쌍문제1동(1132066000)","9,745","4,002","2,579","1,795","1,026","260","57","19","2","3","2"
"서울특별시 도봉구 쌍문제2동(1132067000)","8,434","3,534","2,367","1,408","890","189","35","9","1","0","1"
"서울특별시 도봉구 쌍문제3동(1132068000)","8,219","3,945","2,033","1,304","739","165","24","8","1","0","0"
"서울특별시 도봉구 쌍문제4동(1132068100)","7,098","1,831","1,960","1,752","1,266","237","42","7","3","0","0"
"서울특별시 도봉구 방학제1동(1132069000)","13,226","5,723","3,245","2,210","1,552","377","91","23","2","3","0"
"서울특별시 도봉구 방학제2동(1132070000)","9,091","4,248","2,524","1,328","747","195","37","8","1","3","0"
"서울특별시 도봉구 방학제3동(1132071000)","9,927","2,258","2,935","2,416","1,812","395","85","19","5","2","0"
"서울특별시 노원구 (1135000000)","217,494","82,054","54,340","42,358","31,512","5,837","1,071","210","71","26","15"
"서울특별시 노원구 월계1동(1135056000)","10,230","5,012","2,245","1,607","1,046","268","35","12","4","1","0"
"서울특별시 노원구 월계2동(1135057000)","11,586","4,574","3,167","2,095","1,387","296","56","8","2","1","0"
"서울특별시 노원구 월계3동(1135058000)","12,810","4,662","3,741","2,571","1,478","273","66","12","5","1","1"
"서울특별시 노원구 공릉1동(1135059500)","18,917","10,160","3,995","2,564","1,711","383","87","10","4","3","0"
"서울특별시 노원구 공릉2동(1135060000)","18,052","6,983","3,910","3,564","2,920","551","100","16","3","3","2"
"서울특별시 노원구 하계1동(1135061100)","12,369","5,852","2,447","2,006","1,696","295","53","12","5","2","1"
"서울특별시 노원구 하계2동(1135061200)","7,584","1,831","1,903","1,902","1,639","260","35","10","4","0","0"
"서울특별시 노원구 중계본동(1135061900)","7,845","1,648","1,594","1,917","2,133","463","68","14","5","2","1"
"서울특별시 노원구 중계1동(1135062100)","8,912","1,512","1,616","2,625","2,705","385","48","14","6","1","0"
"서울특별시 노원구 중계4동(1135062400)","8,112","2,902","2,023","1,582","1,283","249","49","10","10","3","1"
"서울특별시 노원구 중계2.3동(1135062500)","14,928","5,906","4,232","2,707","1,754","277","39","10","2","1","0"
"서울특별시 노원구 상계1동(1135063000)","15,613","5,239","4,304","3,162","2,274","494","111","21","5","1","2"
"서울특별시 노원구 상계2동(1135064000)","8,589","3,541","1,950","1,595","1,225","215","56","4","3","0","0"
"서울특별시 노원구 상계3.4동(1135066500)","12,311","5,005","3,100","2,118","1,630","368","76","10","4","0","0"
"서울특별시 노원구 상계5동(1135067000)","10,828","4,713","2,870","1,804","1,129","250","49","9","2","0","2"
"서울특별시 노원구 상계6.7동(1135069500)","13,744","5,041","3,705","2,809","1,835","287","51","9","1","2","4"
"서울특별시 노원구 상계8동(1135070000)","9,082","2,495","2,831","2,237","1,309","178","24","6","1","0","1"
"서울특별시 노원구 상계9동(1135071000)","8,288","2,612","2,450","1,827","1,176","177","32","10","1","3","0"
"서울특별시 노원구 상계10동(1135072000)","7,694","2,366","2,257","1,666","1,182","168","36","13","4","2","0"
"서울특별시 은평구 (1138000000)","214,585","89,074","55,252","37,633","25,240","5,812","1,190","268","64","24","28"
"서울특별시 은평구 녹번동(1138051000)","17,557","7,897","4,540","2,905","1,771","331","85","20","3","1","4"
"서울특별시 은평구 불광제1동(1138052000)","16,315","6,840","4,376","2,855","1,773","376","75","15","3","2","0"
"서울특별시 은평구 불광제2동(1138053000)","14,141","7,257","3,565","1,947","1,036","272","48","13","3","0","0"
"서울특별시 은평구 갈현제1동(1138055100)","7,202","3,477","1,793","1,084","670","144","25","7","1","0","1"
